time,assetCode,assetName,universe,volume,close,open,returnsClosePrevRaw1,returnsOpenPrevRaw1,returnsClosePrevMktres1,returnsOpenPrevMktres1,returnsClosePrevRaw10,returnsOpenPrevRaw10,returnsClosePrevMktres10,returnsOpenPrevMktres10,returnsOpenNextMktres10
2007-02-01 22:00:00+00:00,A.N,Agilent Technologies Inc,1.0,2606900.0,32.19,32.17,0.005937500000000151,0.005312499999997611,,,-0.0018604651162773544,0.0006220839813353418,,,0.034672039756225945
2007-02-01 22:00:00+00:00,AAI.N,AirTran Holdings Inc,0.0,2051600.0,11.12,11.08,0.004516711833784992,-0.007168458781361964,,,-0.07870753935376973,-0.08806584362139924,,,0.0278032796083542
2007-02-01 22:00:00+00:00,AAP.N,Advance Auto Parts Inc,1.0,1164800.0,37.51,37.99,-0.011594202898550288,0.025647948164145173,,,0.01433207138994197,0.045404512933405305,,,0.024432912679349387
2007-02-01 22:00:00+00:00,AAPL.O,Apple Inc,1.0,23747329.0,84.74,86.23,-0.011547882888139682,0.016323884730973015,,,-0.048613450095429944,-0.03718177757927987,,,-0.0074246124832975345
2007-02-01 22:00:00+00:00,ABB.N,ABB Ltd,1.0,1208600.0,18.02,18.01,0.01179112857944542,0.025042686397269698,,,0.01292861157953773,0.02039660056657633,,,-0.017994120191149612
2007-02-01 22:00:00+00:00,ABC.N,AmerisourceBergen Corp,1.0,1657300.0,52.37,52.4,-0.00019091256204895046,0.008468052347960331,,,0.08899979205656083,0.077745783628137,,,0.058680419955059994
2007-02-01 22:00:00+00:00,ABD.N,ACCO Brands Corp,0.0,1186200.0,23.63,24.13,-0.020721094073767654,-0.007404360345535155,,,0.005104210974052448,0.02680851063829781,,,-0.04428458197794999
2007-02-01 22:00:00+00:00,ABM.N,ABM Industries Inc,0.0,301200.0,26.19,25.9,0.013544891640870693,0.014890282131663879,,,0.0689795918367373,0.047310958350183174,,,0.01657778095599308
2007-02-01 22:00:00+00:00,ABT.N,Abbott Laboratories,1.0,5692300.0,52.87,52.5,-0.0024528301886816983,-0.0047393364928923765,,,0.001515438530020452,-0.00492797573920134,,,0.009860690788939098
2007-02-01 22:00:00+00:00,ABV.N,Companhia de Bebidas das Americas Ambev,1.0,401800.0,52.46,52.1,0.014111734003479981,0.0247836349331223,,,0.042320683488972444,0.027410767107079348,,,0.012917153938747181
2007-02-01 22:00:00+00:00,ABY.N,Unknown,0.0,9037700.0,3.17,3.23,-0.024615384615384595,0.02215189873417711,,,0.17843866171003708,0.2007434944237918,,,0.01696275457374022
2007-02-01 22:00:00+00:00,ACF.N,General Motors Financial Company Inc,1.0,1375200.0,27.25,27.24,0.00405305821665447,0.016038791495710525,,,0.10862489829129385,0.11047696697920895,,,-0.01028651850537747
2007-02-01 22:00:00+00:00,ACH.N,Aluminum Corp of China Ltd,1.0,1636100.0,24.52,24.2,0.08784383318545119,0.07795100222716767,,,0.06469821971341694,0.04041272570937071,,,0.041577329459950754
2007-02-01 22:00:00+00:00,ACL.N,Alcon Inc,1.0,255300.0,118.21,117.77,0.003821331521733251,-0.0006788290199434277,,,-0.003120256367010299,-0.002794242167658334,,,0.08496402252074595
2007-02-01 22:00:00+00:00,ACS.N,Affiliated Computer Services Inc,1.0,1302100.0,49.17,49.23,0.003674219228414044,0.015051546391752435,,,0.010688591983555984,0.01109057301293892,,,0.08440629724938592
2007-02-01 22:00:00+00:00,ACTS.O,Actions Semiconductor Co Ltd,0.0,619929.0,7.74,7.92,-0.03249999999999997,-0.03414634146341455,,,-0.056097560975609695,-0.04578313253012056,,,-0.09751772309732203
2007-02-01 22:00:00+00:00,ACXM.O,Acxiom Corp,0.0,407032.0,22.94,22.8,0.010572687224667199,0.010638297872342495,,,-0.08895949166004913,-0.08909308829404372,,,-0.052525740731495935
