time,sourceTimestamp,firstCreated,sourceId,headline,urgency,takeSequence,provider,subjects,audiences,bodySize,companyCount,headlineTag,marketCommentary,sentenceCount,wordCount,assetCodes,assetName,firstMentionSentence,relevance,sentimentClass,sentimentNegative,sentimentNeutral,sentimentPositive,sentimentWordCount,noveltyCount12H,noveltyCount24H,noveltyCount3D,noveltyCount5D,noveltyCount7D,volumeCounts12H,volumeCounts24H,volumeCounts3D,volumeCounts5D,volumeCounts7D
2007-01-01 04:29:32+00:00,2007-01-01 04:29:32+00:00,2007-01-01 04:29:32+00:00,e58c6279551b85cf,China's Daqing pumps 43.41 mln tonnes of oil in 06,3,1,RTRS,"{'CRU', 'CN', 'RTRS', 'ENR', 'LEN', 'EMRG', 'NGS', 'ASIA'}","{'O', 'Z', 'OIL'}",1438,1,,False,11,275,"{'PTR.N', '0857.F', '0857.DE', '0857.HK'}",PetroChina Co Ltd,6,0.235702,-1,0.500739,0.419327,0.0799341,73,0,0,0,0,0,0,0,3,6,7
2007-01-01 07:03:35+00:00,2007-01-01 07:03:34+00:00,2007-01-01 07:03:34+00:00,5a31c4327427f63f,"FEATURE-In kidnapping, finesse works best",3,1,RTRS,"{'BD', 'INS', 'LATAM', 'CA', 'US', 'MX', 'IL', 'LIF', 'RTRS', 'FEA', 'LEN', 'MEAST', 'CO', 'ASIA', 'HT'}","{'PGE', 'PCU', 'PCO', 'DNP', 'MD', 'E', 'G', 'PSC', 'ESN', 'U', 'RNP'}",4413,1,FEATURE,False,55,907,{'STA.N'},Travelers Companies Inc,8,0.447214,-1,0.600082,0.345853,0.0540643,62,1,1,1,1,1,1,1,3,3,3
2007-01-01 11:29:56+00:00,2007-01-01 11:29:56+00:00,2007-01-01 11:29:56+00:00,1cefd27a40fabdfe,PRESS DIGEST - Wall Street Journal - Jan 1,3,1,RTRS,"{'IQ', 'RO', 'US', 'ID', 'RET', 'RTRS', 'ENR', 'PRESS', 'BG', 'LEN', 'TH', 'NGS', 'BY'}","{'M', 'PMF', 'DNP', 'PTD', 'T', 'E', 'D', 'PSC', 'U', 'NAT', 'RNP'}",2108,2,PRESS DIGEST,False,15,388,"{'WMT.N', 'WMT.DE'}",Wal-Mart Stores Inc,14,0.377964,-1,0.450049,0.295671,0.25428,67,0,0,0,0,0,0,0,5,11,17
2007-01-01 12:08:37+00:00,2007-01-01 12:08:37+00:00,2007-01-01 12:08:37+00:00,23768af19dc69992,PRESS DIGEST - New York Times - Jan 1,3,1,RTRS,"{'PUB', 'BUS', 'INS', 'CA', 'ENT', 'US', 'FIN', 'SFWR', 'RTRS', 'WWW', 'PRESS', 'USC', 'LEI', 'FUND', 'LEN'}","{'M', 'PMF', 'DNP', 'PTD', 'T', 'E', 'D', 'PSC', 'U', 'NAT', 'RNP'}",1776,6,PRESS DIGEST,False,14,325,"{'GOOG.O', 'GOOG.OQ', 'GOOGa.DE'}",Google Inc,13,0.149071,-1,0.752917,0.162715,0.0843678,83,0,0,0,0,0,0,0,5,13,15
2007-01-01 12:08:37+00:00,2007-01-01 12:08:37+00:00,2007-01-01 12:08:37+00:00,23768af19dc69992,PRESS DIGEST - New York Times - Jan 1,3,1,RTRS,"{'PUB', 'BUS', 'INS', 'CA', 'ENT', 'US', 'FIN', 'SFWR', 'RTRS', 'WWW', 'PRESS', 'USC', 'LEI', 'FUND', 'LEN'}","{'M', 'PMF', 'DNP', 'PTD', 'T', 'E', 'D', 'PSC', 'U', 'NAT', 'RNP'}",1776,6,PRESS DIGEST,False,14,325,{'XMSR.O'},XM Satellite Radio Holdings Inc,11,0.149071,-1,0.699274,0.20936,0.0913665,102,0,0,0,0,0,0,0,0,0,0
2007-01-01 12:08:37+00:00,2007-01-01 12:08:37+00:00,2007-01-01 12:08:37+00:00,23768af19dc69992,PRESS DIGEST - New York Times - Jan 1,3,1,RTRS,"{'PUB', 'BUS', 'INS', 'CA', 'ENT', 'US', 'FIN', 'SFWR', 'RTRS', 'WWW', 'PRESS', 'USC', 'LEI', 'FUND', 'LEN'}","{'M', 'PMF', 'DNP', 'PTD', 'T', 'E', 'D', 'PSC', 'U', 'NAT', 'RNP'}",1776,6,PRESS DIGEST,False,14,325,"{'SIRI.OQ', 'SIRI.O'}",Sirius XM Radio Inc,0,0.149071,-1,0.476228,0.336996,0.186776,325,0,0,0,0,0,0,0,0,2,3
2007-01-01 12:08:37+00:00,2007-01-01 12:08:37+00:00,2007-01-01 12:08:37+00:00,23768af19dc69992,PRESS DIGEST - New York Times - Jan 1,3,1,RTRS,"{'PUB', 'BUS', 'INS', 'CA', 'ENT', 'US', 'FIN', 'SFWR', 'RTRS', 'WWW', 'PRESS', 'USC', 'LEI', 'FUND', 'LEN'}","{'M', 'PMF', 'DNP', 'PTD', 'T', 'E', 'D', 'PSC', 'U', 'NAT', 'RNP'}",1776,6,PRESS DIGEST,False,14,325,"{'DIS.N', 'DIS.DE', 'DIS.F'}",Walt Disney Co,5,0.149071,0,0.152658,0.615878,0.231464,46,0,0,0,0,0,0,0,2,8,8
2007-01-01 12:08:37+00:00,2007-01-01 12:08:37+00:00,2007-01-01 12:08:37+00:00,23768af19dc69992,PRESS DIGEST - New York Times - Jan 1,3,1,RTRS,"{'PUB', 'BUS', 'INS', 'CA', 'ENT', 'US', 'FIN', 'SFWR', 'RTRS', 'WWW', 'PRESS', 'USC', 'LEI', 'FUND', 'LEN'}","{'M', 'PMF', 'DNP', 'PTD', 'T', 'E', 'D', 'PSC', 'U', 'NAT', 'RNP'}",1776,6,PRESS DIGEST,False,14,325,"{'MSFT.DE', 'MSFT.F', 'MSFT.OQ', 'MSFT.O'}",Microsoft Corp,10,0.447214,0,0.325929,0.374173,0.299898,130,0,0,0,0,0,0,0,0,4,16
2007-01-01 12:08:37+00:00,2007-01-01 12:08:37+00:00,2007-01-01 12:08:37+00:00,23768af19dc69992,PRESS DIGEST - New York Times - Jan 1,3,1,RTRS,"{'PUB', 'BUS', 'INS', 'CA', 'ENT', 'US', 'FIN', 'SFWR', 'RTRS', 'WWW', 'PRESS', 'USC', 'LEI', 'FUND', 'LEN'}","{'M', 'PMF', 'DNP', 'PTD', 'T', 'E', 'D', 'PSC', 'U', 'NAT', 'RNP'}",1776,6,PRESS DIGEST,False,14,325,"{'YHOO.O', 'YHOO.OQ', 'YHOO.DE'}",Yahoo! Inc,13,0.149071,0,0.0913729,0.633713,0.274914,83,0,0,0,0,0,0,2,8,11,12
2007-01-01 13:00:02+00:00,2007-01-01 13:00:02+00:00,2007-01-01 13:00:02+00:00,9fb959be43ed4ba2,Tenet Completes Sale of Alvarado Hospital Medical Center <THC.N>,3,1,BSW,"{'US', 'NEWR', 'LEN', 'DRU'}","{'CNR', 'BSW'}",1881,1,,False,12,315,{'THC.N'},Tenet Healthcare Corp,1,1.0,1,0.0580591,0.139615,0.802326,183,0,0,0,0,0,0,0,0,0,1
